,A_H2,A_CO,A_HCOOH,A_C2,composition,Cu,Ag,Au,Pt,Pd,Al,Cu_top,Ag_top,Au_top,Pt_top,Pd_top,Al_top,top_max,A_C2-CO,LP_C2_mean,LP_CO_mean,LP_H2_mean,LP_HCOOH_mean,LP_C2_CO_mean
0,550.482003819195,6.202982842180544e-06,0.8807845682139381,1.7227004543934263e-09,Au0.3Ag0.25Cu0.35Pt0.05Pd0.05,0.35,0.25,0.3,0.05,0.05,0.0,0.275,0.471,0.242,0.006,0.006,0.0,Ag_top,-6.201260141726151e-06,0.9472725813777567,0.6654198474134978,0.09871098727613635,0.3316794537013011,0.281852733964259
1,537.7242581381322,2.9450054296148687e-06,0.9616208924697164,2.278730995048724e-10,Au0.35Ag0.25Cu0.3Pt0.05Pd0.05,0.3,0.25,0.35,0.05,0.05,0.0,0.209,0.525,0.264,0.002,0.0,0.0,Ag_top,-2.9447775565153637e-06,0.9732673529270772,0.678627678463886,0.10666707027837878,0.337731604171587,0.2946396744631911
2,495.57101025715104,2.772739088153175e-06,0.9447350139573372,1.4408297783574743e-10,Au0.35Ag0.2Cu0.35Pt0.05Pd0.05,0.35,0.2,0.35,0.05,0.05,0.0,0.231,0.472,0.285,0.006,0.006,0.0,Ag_top,-2.772595005175339e-06,0.9554468919733934,0.7003879888347457,0.1077518348836003,0.3205190403102712,0.2550589031386476
3,534.0074591879143,3.560102555535443e-06,0.8261188860607769,8.532915743408974e-10,Au0.3Ag0.35Cu0.25Pt0.05Pd0.05,0.25,0.35,0.3,0.05,0.05,0.0,0.158,0.666,0.166,0.006,0.004,0.0,Ag_top,-3.5592492639611023e-06,0.9432312670671796,0.6661667992636073,0.11640909653821735,0.33046777831458335,0.2770644678035724
4,547.890751897128,3.0913706006610387e-06,0.7996828904855681,6.279734548065964e-11,Au0.35Ag0.35Cu0.2Pt0.05Pd0.05,0.2,0.35,0.35,0.05,0.05,0.0,0.114,0.563,0.313,0.008,0.002,0.0,Ag_top,-3.091307803315558e-06,1.0058678340155247,0.6850681064710068,0.1122348367413006,0.35836463681771963,0.32079972754451797
5,544.7089165720513,1.1924555552301744e-05,0.6713060878577255,3.047813346734897e-09,Cu0.35Au0.2Ag0.35Pt0.05Pd0.05,0.35,0.35,0.2,0.05,0.05,0.0,0.255,0.645,0.089,0.01,0.002,0.0,Ag_top,-1.192150773895501e-05,0.9011921135525331,0.6270867459470751,0.1054926029698851,0.3384802938194324,0.2741053676054579
6,528.0605956171123,1.1598681175405335e-05,1.2824400263422335,3.306309400273464e-09,Au0.25Ag0.35Cu0.3Pt0.05Pd0.05,0.3,0.35,0.25,0.05,0.05,0.0,0.199,0.652,0.143,0.006,0.0,0.0,Ag_top,-1.1595374866005062e-05,0.8936908363175807,0.637467101811723,0.11289762273069096,0.320416667197195,0.25622373450585784
7,576.8662236970192,2.381875943532772e-06,0.8067152175574603,3.86265253360681e-10,Au0.35Ag0.3Cu0.25Pt0.05Pd0.05,0.25,0.3,0.35,0.05,0.05,0.0,0.176,0.529,0.284,0.008,0.004,0.0,Ag_top,-2.381489678279411e-06,0.98433585406386,0.6845815528098327,0.1040154220173585,0.34552952745573984,0.2997543012540273
8,506.56174166635,1.2683988911691346e-05,0.8860457221593048,1.9262554107675247e-09,Au0.25Ag0.3Cu0.35Pt0.05Pd0.05,0.35,0.3,0.25,0.05,0.05,0.0,0.268,0.551,0.177,0.002,0.002,0.0,Ag_top,-1.2682062656280578e-05,0.9172770532302953,0.6563637291136124,0.10683608733856806,0.32087812557694584,0.2609133241166831
9,595.2584557356709,4.836533384694563e-06,0.8107818815022187,2.5834068124592476e-09,Au0.3Ag0.3Cu0.3Pt0.05Pd0.05,0.3,0.3,0.3,0.05,0.05,0.0,0.216,0.541,0.234,0.008,0.002,0.0,Ag_top,-4.833949977882103e-06,0.9315104127091619,0.6444514283580545,0.09717615177832632,0.33503272821768193,0.28705898435110727
10,60.771358959142304,0.0385957369728256,2.5759398149220933,9.26701756196487e-06,Cu0.3Al0.25Ag0.35Pt0.05Pd0.05,0.3,0.35,0.0,0.05,0.05,0.25,0.22,0.635,0.0,0.0,0.006,0.139,Ag_top,-0.03858646995526364,0.7190802084931858,0.6814495500827732,0.36571533399448175,0.31866557598094447,0.03763065841041245
11,51.85981444109065,7.4959957548860765e-06,2.8844956225247094,1.4770111191981365e-06,Cu0.35Al0.25Ag0.3Pt0.05Pd0.05,0.35,0.3,0.0,0.05,0.05,0.25,0.294,0.538,0.0,0.004,0.002,0.162,Ag_top,-6.0189846356879396e-06,0.7249324789937095,0.690008293,0.3355227101181979,0.30360621725101766,0.03492418599370947
12,90.257732763595,0.0002047445580424,3.366603393025497,7.758464266249278e-06,Cu0.35Al0.2Ag0.35Pt0.05Pd0.05,0.35,0.35,0.0,0.05,0.05,0.2,0.247,0.607,0.0,0.008,0.002,0.136,Ag_top,-0.00019698609377615073,0.7138524832449717,0.6547304081046676,0.29036942546177513,0.27085138562647454,0.0591220751403041
13,5.531507014038364,1.981520427407769e-06,0.8200407913691794,3.662883074920432e-07,Cu0.3Al0.35Ag0.25Pt0.05Pd0.05,0.3,0.25,0.0,0.05,0.05,0.35,0.215,0.514,0.0,0.006,0.004,0.261,Ag_top,-1.6152321199157258e-06,0.7783941313701316,0.7731288510163468,0.5424936168835466,0.5203862969160092,0.005265280353784649
